City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
474,Luorong,CN,71.74,light rain,24.4058,109.6086,荣立大酒店
477,Sao Jose Da Coroa Grande,BR,75.72,overcast clouds,-8.8978,-35.1478,Crôa Mares Hotel
479,Lufilufi,WS,85.78,scattered clouds,-13.8745,-171.5986,Leuaina Beach Resort and Spa
484,Old Bridge,US,70.34,overcast clouds,40.4148,-74.3654,Surestay Hotel By Best Western East Brunswick
488,San Patricio,US,79.84,few clouds,28.017,-97.5169,"Motel 6 Sinton, TX"
489,Alofi,NU,82.29,few clouds,-19.0595,-169.9187,Taloa Heights
490,Mayo,US,72.55,overcast clouds,38.8876,-76.5119,Resorts Resource Group International
494,Mumford,GH,77.88,overcast clouds,5.2618,-0.759,Spanish Villa
495,Hambantota,LK,79.14,few clouds,6.1241,81.1185,Bungalow 63
497,Ugoofaaru,MV,82.94,broken clouds,5.6667,73.0,Ungoofaaru Inn
498,Ibra,OM,77.11,clear sky,22.6906,58.5334,مزرعة راحة النفوس المنزفة
500,Juba,SS,70.75,broken clouds,4.8517,31.5825,ROYAL PALACE HOTEL - JUBA
503,Impfondo,CG,71.38,overcast clouds,1.6381,18.0667,Auberge La Place de Jules
504,Ambanja,MG,72.05,broken clouds,-13.6833,48.45,Hotel Salama and Fast Food
506,Mazamari,PE,70.48,broken clouds,-11.3258,-74.5308,Hospedaje Ratto
508,Beinamar,TD,72.9,overcast clouds,8.6698,15.3813,NA
516,Acapulco,MX,84.02,overcast clouds,16.8634,-99.8901,HS Hotsson Smart Acapulco
517,Cairo,EG,71.71,clear sky,30.0626,31.2497,Grand Hotel
518,Nabire,ID,87.51,broken clouds,-3.3667,135.4833,Hotel Nusantara Nabire
519,Wewak,PG,86.63,few clouds,-3.5534,143.6268,In Wewak Boutique Hotel
521,Barauna,BR,76.91,overcast clouds,-5.08,-37.6167,Pousada Rancho do Sabiá
524,Sydney,AU,83.61,clear sky,-33.8679,151.2073,The Grace Sydney
525,Marietta,US,70.0,few clouds,33.9526,-84.5499,Hilton Atlanta/Marietta Hotel & Conference Center
530,Bata,GQ,77.25,light rain,1.8639,9.7658,Hotel Elik Melen
531,Balsas,BR,87.03,broken clouds,-7.5325,-46.0356,Novo Hotel
532,Pyapon,MM,82.78,overcast clouds,16.2833,95.6833,Aung Naing Thu Motel
535,Hobyo,SO,77.63,clear sky,5.3505,48.5268,Halane Hotel and Restaurent
542,Kalmunai,LK,81.68,overcast clouds,7.4167,81.8167,VS Villa
544,Guapo,BR,77.38,overcast clouds,-16.8306,-49.5319,Lar de idosos de Guapó
550,Pizarro,CO,76.59,moderate rain,4.9533,-77.366,Hotel Limonar
554,Barra Do Garcas,BR,76.87,broken clouds,-15.89,-52.2567,Hotel Pousada Tropical
556,Kuching,MY,86.22,few clouds,1.55,110.3333,The Ranee Boutique Suites
563,Birao,CF,72.73,overcast clouds,10.2849,22.7882,NA
564,Statesboro,US,71.91,clear sky,32.4488,-81.7832,"Holiday Inn Statesboro-University Area, an IHG Hotel"
571,Brokopondo,SR,77.67,overcast clouds,4.75,-55.1667,Matu Island
574,Maine-Soroa,NE,83.28,broken clouds,13.2114,12.0241,Complexe
579,Tautira,PF,82.42,broken clouds,-17.7333,-149.15,Pension Oaoa
582,Lethem,GY,77.14,overcast clouds,3.3803,-59.7968,Savannah Inn
583,Flinders,AU,79.81,broken clouds,-34.5833,150.8552,Shellharbour Resort & Conference Centre
588,Odweyne,SO,72.19,broken clouds,9.4092,45.064,Eng Hiirey House
590,Jalu,LY,72.73,clear sky,29.0331,21.5482,صاحبة الفخامة
592,Tual,ID,82.51,overcast clouds,-5.6667,132.75,Grand Vilia Hotel
595,Broken Hill,AU,82.11,clear sky,-31.95,141.4333,Royal Exchange Hotel
600,Moussoro,TD,85.39,overcast clouds,13.6408,16.4901,Hôtel Maltina
602,Kendari,ID,87.19,overcast clouds,-3.945,122.4989,Hotel Wixel
603,Mecca,SA,81.88,broken clouds,21.4267,39.8261,"Makkah Clock Royal Tower, A Fairmont Hotel"
604,Podor,MR,86.99,overcast clouds,16.6527,-14.9587,Auberge Du Tékrour
606,Juegang,CN,84.96,clear sky,32.3174,121.1855,Rudong Y Hotel
607,Doaba,PK,73.15,clear sky,33.4244,70.7364,mian hayat khan
609,Nelson Bay,AU,85.28,clear sky,-32.7167,152.15,Mantra Nelson Bay
613,Turbat,PK,83.88,clear sky,26.0023,63.044,Mubashar Quarters
617,Corumba,BR,79.27,scattered clouds,-19.0092,-57.6533,Hotel Laura Vicunha
623,Thanatpin,MM,81.36,broken clouds,17.2119,96.3033,Lo Ta Ya Garden
625,Mindelo,CV,78.35,few clouds,16.8901,-24.9804,Hotel Gaudi
627,Amapa,BR,73.6,broken clouds,1.0,-52.0,NA
628,Porto Walter,BR,76.91,few clouds,-8.2686,-72.7439,Secretaria de saúde
632,Mangrol,IN,82.71,overcast clouds,21.1167,70.1167,Hotel The Royal Honours
633,Huilong,CN,88.03,clear sky,31.8111,121.655,Hilton Garden Inn Qidong
634,Namie,JP,72.72,light rain,37.4833,141.0,いこいの村なみえ
635,Tahta,EG,71.92,clear sky,26.7693,31.5021,مصطفي عساف
637,Santa Rosa,PH,87.1,overcast clouds,14.3122,121.1114,Erlyn’s Sta Rosa City Home
638,Makurdi,NG,75.65,light rain,7.7411,8.5121,Doo Palace Hotel
640,Chimore,BO,81.93,overcast clouds,-16.9833,-65.1333,Bichito
651,Tutoia,BR,79.65,broken clouds,-2.7619,-42.2744,Pousada Guará's
652,Limon,CR,78.87,overcast clouds,10.0,-83.0333,Hotel Playa Bonita
653,Kapit,MY,89.22,few clouds,2.0167,112.9333,Hotel Meligai Kapit
655,North Platte,US,71.26,clear sky,41.1239,-100.7654,"Holiday Inn Express & Suites North Platte, an IHG Hotel"
658,Bull Savanna,JM,79.09,broken clouds,17.8868,-77.5902,Big Red's
667,Mersing,MY,84.11,scattered clouds,2.4312,103.8405,Timotel Hotel
668,Pangkalanbuun,ID,86.81,overcast clouds,-2.6833,111.6167,Grand Kecubung Hotel
669,Dicabisagan,PH,85.91,broken clouds,17.0818,122.4157,Nancy Montanes Bernardo
671,Mubi,NG,76.26,overcast clouds,10.2676,13.2644,Hotel
672,Alta Floresta,BR,72.86,broken clouds,-9.8756,-56.0861,Floresta Amazonica Hotel
673,Kualakapuas,ID,84.36,overcast clouds,-3.0091,114.3876,Guest House Izonk
677,Jacqueville,CI,80.51,light rain,5.2052,-4.4146,Hotel Le Martin Pecheur
680,Bundaberg,AU,81.21,scattered clouds,-24.85,152.35,Takalvan Motel
681,Riyadh,SA,73.54,clear sky,24.6877,46.7219,"InterContinental Riyadh, an IHG Hotel"
682,Maceio,BR,78.24,few clouds,-9.6658,-35.7353,Poutur Pousada
683,Pochutla,MX,82.81,overcast clouds,15.7432,-96.4661,Hotel Posada San Jose
688,Itarema,BR,79.14,broken clouds,-2.9248,-39.9167,"Sea Lounge! Bar, Club & Restaurant"
690,Biak,ID,83.59,clear sky,-0.9131,122.8766,Penginapan Kim
